Season,Round,URL_IPLStats
IPL2013,28,http://www.iplstats.com/website13-14/Week28/SEP_SAP_28.htm
IPL2013,29,http://www.iplstats.com/website13-14/Week29/FOL_EST_29.htm
IPL2013,29,http://www.iplstats.com/website13-14/Week29/MLV_SEP_29.htm
IPL2013,29,http://www.iplstats.com/website13-14/Week29/MES_SAB_29.htm
IPL2013,29,http://www.iplstats.com/website13-14/Week29/NFT_GFT_29.htm
IPL2013,29,http://www.iplstats.com/website13-14/Week29/PER_RAH_29.htm
IPL2013,29,http://www.iplstats.com/website13-14/Week29/SAP_FJR_29.htm
IPL2013,29,http://www.iplstats.com/website13-14/Week29/TST_ESK_29.htm
IPL2013,29,http://www.iplstats.com/website13-14/Week29/ZOB_DGL_29.htm
IPL2013,30,http://www.iplstats.com/website13-14/Week30/DGL_MES_30.htm
IPL2013,30,http://www.iplstats.com/website13-14/Week30/ESK_PER_30.htm
IPL2013,30,http://www.iplstats.com/website13-14/Week30/EST_PER_30.htm
IPL2013,30,http://www.iplstats.com/website13-14/Week30/FJR_MLV_30.htm
IPL2013,30,http://www.iplstats.com/website13-14/Week30/GFT_FOL_30.htm
IPL2013,30,http://www.iplstats.com/website13-14/Week30/RAH_ZOB_30.htm
IPL2013,30,http://www.iplstats.com/website13-14/Week30/SAB_SAP_30.htm
IPL2013,30,http://www.iplstats.com/website13-14/Week30/SEP_NFT_30.htm
